id,name,address,rating,review,telephone
53,NAKUL Dandekar Photography Studio,"Sampige Road, 560003, Bengaluru",N/A,N/A,081475 74401
54,hair salon,"c2b, 110058, Delhi",N/A,N/A,082951 89161
55,Ashish Test,"403, Ghh, 160055, Mohali",N/A,N/A,070184 94998
56,xerion,"juhu, 444405, Hatola",N/A,N/A,070152 28438
57,Barber,"Ghali Colony, 416502, Gadhinglaj",N/A,N/A,086058 94181
58,Beauty hair sallon,"D-203, 250004, Meerut",N/A,N/A,095252 23884
59,Hhj,"Bbb, 160055, Mohali",N/A,N/A,070184 94998
60,Test,"Test, Test, 380059, Ahmedabad",N/A,N/A,098361 23256
61,Adt,"Road No 12, 500034, Hyderabad",N/A,N/A,097037 28135
62,Krishna Sales,"Kalptaru Millenium Park, Zundal, 382421, Gandhinagar",N/A,N/A,095584 18518
63,V'Remek Beauty Salon & Spa - MIDC,"Shop No 31,Sonata Complex,Next To SBI ATM,MIDC, 421201, Dombivali East",N/A,N/A,081084 43332
64,L'gance Hair & Beauty Salon,"Lbs Marge, Bhandup-w, Mayuresh Sristy, 400078, Mumbai",N/A,N/A,098673 02353
65,DummyHairSalon,"Balewadi, 411045, Pune",N/A,N/A,099604 75702
66,kartiksharma,"K 109, 201001, Ghaziabad",N/A,N/A,097736 63091
